sampleID;Plant;Clostero;Polero;Partiti;PILV;CAMV;Population;Timepoint;Genotype;Leaves;Lenght;Width;Leaf area;Plant area;Herbivory;Virotic;Curly;Yellow
407;S187;1;0;1;NA;NA;1;2;4;9;14;1,4;15,386;138,474;1;0;0;0
408;S139;1;0;0;1;0;1;2;2;18;19,8;1,5;23,3145;419,661;1;0;0;0
409;S316;0;0;0;NA;NA;1;2;1;24;14,3;1,3;14,59315;350,2356;1;0;0;0
410;S126;1;0;0;1;0;1;2;2;1,6;23;1,5;27,0825;43,332;1;0;0;0
411;S203;1;0;1;0;0;1;2;4;19;17,4;4,5;61,4655;1167,8445;1;1;0;0
412;S120;1;0;1;1;0;1;2;2;6;19;1,4;20,881;125,286;1;0;0;0
413;S225;0;0;0;0;0;1;2;4;14;12,4;1;9,734;136,276;0;0;0;0
414;S33;0;0;0;0;0;1;2;3;8;12,9;1,3;13,16445;105,3156;0;0;0;0
415;S157;1;0;0;0;0;1;2;2;11;27,9;1,8;39,4227;433,6497;1;0;0;0
416;S164;0;0;0;0;0;1;2;4;NA;NA;NA;NA;NA;0;0;0;0
417;S163;1;0;0;NA;NA;1;2;4;NA;NA;NA;NA;NA;1;0;0;0
418;S125;0;0;0;1;0;1;2;2;21;18,5;1,1;15,97475;335,46975;1;0;0;0
419;S311;0;0;0;0;0;1;2;1;8;11,5;1;9,0275;72,22;1;0;0;0
420;S245;0;0;0;0;0;1;2;1;14;12,6;1;9,891;138,474;0;0;0;0
421;S257;1;0;1;0;0;1;2;1;25;13,5;1,3;13,77675;344,41875;1;0;0;0
422;S31;1;0;0;0;0;1;2;3;10;13,1;1;10,2835;102,835;1;0;0;0
423;S162;0;0;0;0;0;1;2;4;15;16,5;1,5;19,42875;291,43125;0;0;0;0
424;S35;0;0;0;0;0;1;2;3;9;11;1,1;9,4985;85,4865;1;0;0;0
425;S32;1;0;0;0;0;1;2;3;9;16,7;1,1;14,42045;129,78405;0;0;0;0
426;S300;0;0;0;0;0;1;2;1;6;8,8;0,9;6,2172;37,3032;0;0;0;0
427;S281;0;0;0;0;0;1;2;1;7;8,6;0,9;6,0759;42,5313;0;0;0;0
428;S265;0;0;0;0;0;1;2;1;9;15;1;11,775;105,975;1;0;0;0
429;S141;0;0;0;1;0;1;2;2;8;21,1;1,3;21,53255;172,2604;0;0;0;0
430;S239;0;0;0;0;0;1;2;4;13;9,2;0,7;5,0554;65,7202;0;0;0;0
431;S155;1;0;0;1;0;1;2;2;14;20;1,2;18,84;263,76;1;0;0;0
432;S136;1;0;0;1;0;1;2;2;13;22;1,6;27,632;359,216;1;0;0;0
433;S221;0;0;0;0;0;1;2;4;16;12,1;0,9;8,54865;136,7784;1;0;0;0
434;S25;0;0;0;0;0;1;2;3;15;14,9;1,4;16,3751;245,6265;1;1;0;0
435;S270;0;0;0;0;0;1;2;1;16;15,2;0,8;9,5456;152,7296;1;0;0;0
436;S188;1;0;0;0;0;4;2;4;16;17;1,2;16,014;256,224;0;0;0;0
437;S48;0;0;0;0;0;1;2;3;8;16,8;1,5;19,782;158,256;1;0;0;0
438;S310;1;0;0;0;0;1;2;1;9;16,4;1,2;15,4488;139,0392;0;0;0;0
439;S180;0;0;0;0;1;1;2;4;13;9,2;0,8;5,7776;75,1088;0;0;0;0
440;S117;0;0;0;0;0;1;2;2;12;22,9;1,3;23,36945;280,4334;1;0;0;0
441;S14;0;0;0;0;0;1;2;3;8;15,9;1,1;13,72965;109,8372;1;0;0;0
442;S190;0;0;0;0;0;1;2;4;11;12,6;0,9;8,9019;97,9209;0;0;0;0
443;S81;0;0;0;0;0;1;2;2;21;25,2;1,2;23,7384;498,5064;1;0;0;0
